region,price,dateISO,regionDesc,country
2,1.25,01/03/2019,London,England
2,0.49000001,01/06/1994,London,England
2,1.35,01/01/2015,London,England
2,1,01/10/2013,London,England
2,1.25,01/09/2018,London,England
2,1.1,01/02/2018,London,England
2,1,01/04/2019,London,England
2,1.1,01/09/2012,London,England
2,0.98000002,01/03/2001,London,England
2,0.69999999,01/05/1992,London,England
2,0.75,01/10/1999,London,England
2,0.77999997,01/07/2006,London,England
2,1,01/07/2014,London,England
2,0.60000002,01/03/1994,London,England
2,0.64999998,01/12/1995,London,England
2,0.79000002,01/01/2006,London,England
2,0.98000002,01/01/2019,London,England
2,0.98000002,01/11/2018,London,England
2,0.44,01/03/1994,London,England
2,1,01/12/2015,London,England
2,0.85000002,01/01/2019,London,England
2,0.77999997,01/07/2007,London,England
2,0.57999998,01/03/1994,London,England
2,0.89999998,01/07/2015,London,England
2,1.1900001,01/07/2007,London,England
2,0.80000001,01/03/2021,London,England
2,1.5,01/04/2022,London,England
2,0.79000002,01/01/2019,London,England
2,0.81999999,01/03/2009,London,England
2,0.85000002,01/12/2018,London,England
2,0.75,01/03/2016,London,England
2,0.69999999,01/03/2005,London,England
2,0.69999999,01/02/1999,London,England
2,1,01/11/2016,London,England
2,1.5,01/06/2022,London,England
2,0.80000001,01/09/2007,London,England
2,0.51999998,01/12/2000,London,England
2,0.79000002,01/04/2022,London,England
2,1,01/10/2013,London,England
2,0.99000001,01/07/2019,London,England
2,0.28999999,01/02/1997,London,England
2,1,01/10/2012,London,England
2,0.68000001,01/10/2001,London,England
2,0.85000002,01/02/2020,London,England
2,0.88999999,01/07/2006,London,England
2,0.89999998,01/01/2019,London,England
2,0.89999998,01/01/2019,London,England
2,1.5,01/05/2018,London,England
2,0.75,01/06/2001,London,England
2,0.60000002,01/01/2002,London,England
2,1,01/08/2014,London,England
2,0.94999999,01/07/2019,London,England
2,0.77999997,01/02/2007,London,England
2,0.69999999,01/06/2011,London,England
2,0.58999997,01/03/2012,London,England
2,0.80000001,01/03/2008,London,England
2,0.88999999,01/04/2006,London,England
2,1,01/01/2017,London,England
2,0.69,01/06/1999,London,England
2,0.60000002,01/09/1999,London,England
2,0.47999999,01/07/2000,London,England
2,0.49000001,01/03/1994,London,England
2,1.8,01/01/2019,London,England
2,0.58999997,01/09/1994,London,England
2,1,01/04/2015,London,England
2,2,01/06/2018,London,England
2,0.79000002,01/01/2011,London,England
2,0.69,01/06/1999,London,England
2,0.88999999,01/05/2010,London,England
2,0.79000002,01/05/1991,London,England
2,0.68000001,01/08/1992,London,England
2,0.49000001,01/07/2010,London,England
2,0.40000001,01/10/1997,London,England
2,0.89999998,01/01/2019,London,England
2,0.99000001,01/12/2017,London,England
2,0.40000001,01/01/1997,London,England
2,0.79000002,01/12/2018,London,England
2,1,01/08/2017,London,England
2,0.5,01/05/2010,London,England
2,0.31999999,01/08/1995,London,England
2,0.79000002,01/01/2019,London,England
2,1.75,01/01/2019,London,England
2,0.38999999,01/08/2015,London,England
2,0.77999997,01/09/2006,London,England
2,1.49,01/09/2020,London,England
2,0.38999999,01/03/1994,London,England
2,0.98000002,01/01/2019,London,England
2,1,01/10/2018,London,England
2,0.88999999,01/06/2004,London,England
2,0.25,01/12/2009,London,England
2,1,01/03/2014,London,England
2,0.88999999,01/03/1994,London,England
2,0.47999999,01/07/1998,London,England
2,0.44999999,01/04/1994,London,England
2,1.1,01/01/2018,London,England
2,1.25,01/02/2010,London,England
2,0.93000001,01/08/2022,London,England
2,0.79000002,01/10/1993,London,England
2,0.80000001,01/12/2021,London,England
2,0.88999999,01/04/1994,London,England
2,1.1,01/08/2018,London,England
2,0.99000001,01/06/2011,London,England
2,0.80000001,01/10/2020,London,England
2,0.72000003,01/03/2006,London,England
2,0.79000002,01/10/2018,London,England
2,0.89999998,01/06/2015,London,England
2,0.69,01/11/2015,London,England
2,1,01/05/2012,London,England
2,0.49000001,01/05/1997,London,England
2,0.5,01/06/2005,London,England
2,1.09,01/08/2010,London,England
2,0.94999999,01/07/2019,London,England
2,0.25,01/04/1994,London,England
2,0.99000001,01/03/2011,London,England
2,0.68000001,01/06/2004,London,England
2,0.33000001,01/01/1998,London,England
2,0.79000002,01/09/2008,London,England
2,1,01/05/2020,London,England
2,0.69999999,01/04/1996,London,England
2,1,01/06/2009,London,England
2,0.68000001,01/06/2004,London,England
2,0.88,01/04/2021,London,England
2,0.94999999,01/06/2017,London,England
2,0.47999999,01/11/1998,London,England
2,0.44999999,01/03/1997,London,England
2,0.99000001,01/04/2001,London,England
2,1.25,01/01/2019,London,England
2,0.75,01/07/2014,London,England
2,1.1,01/04/2018,London,England
2,0.63,01/02/2022,London,England
2,1.25,01/11/2010,London,England
2,0.97000003,01/10/2019,London,England
2,0.58999997,01/11/1999,London,England
2,0.41999999,01/03/1991,London,England
2,0.75,01/03/2004,London,England
2,0.87,01/12/2021,London,England
2,1.1,01/09/2012,London,England
2,0.49000001,01/09/2010,London,England
2,0.94999999,01/06/2018,London,England
2,0.69,01/06/2022,London,England
2,0.85000002,01/10/2009,London,England
2,0.64999998,01/02/2007,London,England
2,1.25,01/11/2009,London,England
2,0.55000001,01/12/1989,London,England
2,2,01/06/2019,London,England
2,0.5,01/05/1995,London,England
2,0.99000001,01/08/2002,London,England
2,0.80000001,01/06/2009,London,England
2,0.49000001,01/04/2000,London,England
2,0.99000001,01/05/2007,London,England
2,0.58999997,01/09/1994,London,England
2,0.63,01/09/2020,London,England
2,1.4,01/05/2021,London,England
2,1.5,01/10/2021,London,England
2,1,01/10/2012,London,England
2,0.34,01/12/1995,London,England
2,0.80000001,01/10/2014,London,England
2,1.25,01/11/2014,London,England
2,1.1,01/12/2018,London,England
2,0.72000003,01/10/2008,London,England
2,0.68000001,01/09/2001,London,England
2,0.50999999,01/05/1990,London,England
2,0.79000002,01/09/1992,London,England
2,0.79000002,01/04/2000,London,England
2,1.5,01/10/2022,London,England
2,0.5,01/11/1995,London,England
2,1,01/07/2019,London,England
2,1,01/02/2012,London,England
