dateISO,p_mean,regionDesc,country
01/07/2014,1.1283333,Northern Ireland,Northern Ireland
01/08/2014,0.95193547,London,England
01/08/2014,0.95264703,South East,England
01/08/2014,0.92176467,South West,England
01/08/2014,0.97727275,East Anglia,England
01/08/2014,0.95285714,East Midlands,England
01/08/2014,0.97529411,West Midlands,England
01/08/2014,0.91312498,Yorkshire & Humber,England
01/08/2014,0.96428573,North West,England
01/08/2014,0.94666666,North,England
01/08/2014,0.90428573,Wales,Wales
01/08/2014,0.82866669,Scotland,Scotland
01/08/2014,1.06875,Northern Ireland,Northern Ireland
01/09/2014,0.94212121,London,England
01/09/2014,0.91606063,South East,England
01/09/2014,0.91095239,South West,England
01/09/2014,1.0019047,East Anglia,England
01/09/2014,0.92266667,East Midlands,England
01/09/2014,1.0217648,West Midlands,England
01/09/2014,0.89764708,Yorkshire & Humber,England
01/09/2014,0.96636361,North West,England
01/09/2014,0.91600001,North,England
01/09/2014,0.91500002,Wales,Wales
01/09/2014,0.87666667,Scotland,Scotland
01/09/2014,1.0242857,Northern Ireland,Northern Ireland
01/10/2014,0.94749999,London,England
01/10/2014,0.95205885,South East,England
01/10/2014,0.98782611,South West,England
01/10/2014,0.99000001,East Anglia,England
01/10/2014,0.91916668,East Midlands,England
01/10/2014,1.004375,West Midlands,England
01/10/2014,0.93684208,Yorkshire & Humber,England
01/10/2014,0.96799999,North West,England
01/10/2014,1,North,England
01/10/2014,0.94625002,Wales,Wales
01/10/2014,0.90947366,Scotland,Scotland
01/10/2014,1.17625,Northern Ireland,Northern Ireland
01/11/2014,0.9382143,London,England
01/11/2014,0.91636366,South East,England
01/11/2014,0.93449998,South West,England
01/11/2014,0.95238096,East Anglia,England
01/11/2014,0.90750003,East Midlands,England
01/11/2014,0.94916666,West Midlands,England
01/11/2014,0.91705883,Yorkshire & Humber,England
01/11/2014,0.91545457,North West,England
01/11/2014,0.93199998,North,England
01/11/2014,0.94625002,Wales,Wales
01/11/2014,0.92388892,Scotland,Scotland
01/11/2014,1.1671429,Northern Ireland,Northern Ireland
01/12/2014,0.94749999,London,England
01/12/2014,0.92666668,South East,England
